final_label;count;models
adrenal_gland_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
adrenal_gland_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
aorta;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
autochthon_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
autochthon_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
brain;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
femur_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
femur_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
gallbladder;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
gluteus_maximus_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
gluteus_maximus_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
gluteus_medius_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
gluteus_medius_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
gluteus_minimus_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
gluteus_minimus_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
hip_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
hip_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
humerus_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
humerus_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
iliac_artery_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
iliac_artery_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
iliac_vena_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
iliac_vena_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
iliopsoas_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
iliopsoas_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
inferior_vena_cava;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
kidney_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
kidney_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
liver;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
lung_lower_lobe_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
lung_lower_lobe_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
lung_middle_lobe_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
lung_upper_lobe_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
lung_upper_lobe_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
pancreas;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
portal_vein_and_splenic_vein;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
